EAST PMG,https://www.east.org/education-resources/practice-management-guidelines/category/trauma
WTA algorithms,https://www.westerntrauma.org/algorithms.php
ORMC Surgical Critical Care Guidelines,https://www.surgicalcriticalcare.net/guidelines.php
Behind the Knife,https://app.behindtheknife.org/home
Life in the Fast Lane,https://litfl.com
PulmCrit/EMCrit,https://emcrit.org/category/pulmcrit/
The Bottom Line,https://www.thebottomline.org.uk/
RebelEM,https://rebelem.com/
The Trauma Pro,https://thetraumapro.com/
Intensive Care Network,https://intensivecarenetwork.com/
Critical Care Reviews,https://criticalcarereviews.com/index.php
Wiki Journal Club,https://www.wikijournalclub.org/wiki/Main_Page
Ortho Bullets,https://www.orthobullets.com